Parameter,Mode_01,Mode_10,Mode_11
S11 (dB),-18.36168805702382,-16.57854577712566,-9.459264477793045
S12 (dB),-74.84942183999563,-74.81089166141801,-58.37602457819489
S21 (dB),17.972627366537036,18.723181565117176,18.440826146065426
S22 (dB),-1.4454829174921078,-1.7050265249179422,-1.9720600557436099
Stability,1.1788891606057152,1.2146666454309456,1.2418711333264398
S21 -3dB (LOW) GHz,6.2179540466187895,6.233141493521067,6.038881416481016
S21 -3dB (HIGH) GHz,6.903407427243493,6.997185351365396,7.333542297772083
