Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
12,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
12,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
12,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
12,MMPA_V1_v15tb_10,/vdd!,,,,
12,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
12,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
12,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
12,MMPA_V1_v15tb_01,hb_comp_curve,,,,
12,MMPA_V1_v15tb_01,hb_ocp1dbm_value,3.702,,,
12,MMPA_V1_v15tb_01,hb_peakPAE_value,8.234,,,
12,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,18.91,> 18,,pass
12,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,2.823,,,
12,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
12,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
12,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
12,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
12,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
12,MMPA_V1_v15tb_01,/vdd!,,,,
12,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
12,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.6G,,,,,,
13,MMPA_V1_v15tb_11,hb_ocp1dbm_value,11.98,,,
13,MMPA_V1_v15tb_11,hb_peakPAE_value,24.81,,,
13,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,18.4,> 18,,pass
13,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.703,,,
13,MMPA_V1_v15tb_11,hb_comp_curve,,,,
13,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
13,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
13,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
13,MMPA_V1_v15tb_10,hb_comp_curve,,,,
13,MMPA_V1_v15tb_10,hb_ocp1dbm_value,10.81,,,
13,MMPA_V1_v15tb_10,hb_peakPAE_value,21.64,,,
13,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,19.11,> 18,,pass
13,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,10.83,,,
13,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
13,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
13,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
13,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
13,MMPA_V1_v15tb_10,/vdd!,,,,
13,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
13,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
13,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
13,MMPA_V1_v15tb_01,hb_comp_curve,,,,
13,MMPA_V1_v15tb_01,hb_ocp1dbm_value,3.475,,,
13,MMPA_V1_v15tb_01,hb_peakPAE_value,8.119,,,
13,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,18.75,> 18,,pass
13,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,2.678,,,
13,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
13,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
13,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
13,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
13,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
13,MMPA_V1_v15tb_01,/vdd!,,,,
13,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
13,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.65G,,,,,,
14,MMPA_V1_v15tb_11,hb_ocp1dbm_value,11.93,,,
14,MMPA_V1_v15tb_11,hb_peakPAE_value,24.62,,,
14,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,18.47,> 18,,pass
14,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.589,,,
14,MMPA_V1_v15tb_11,hb_comp_curve,,,,
14,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
14,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
14,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
14,MMPA_V1_v15tb_10,hb_comp_curve,,,,
14,MMPA_V1_v15tb_10,hb_ocp1dbm_value,10.56,,,
14,MMPA_V1_v15tb_10,hb_peakPAE_value,21.42,,,
14,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,19.05,> 18,,pass
14,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,10.24,,,
14,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
14,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
14,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
14,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
14,MMPA_V1_v15tb_10,/vdd!,,,,
14,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
14,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
14,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
14,MMPA_V1_v15tb_01,hb_comp_curve,,,,
14,MMPA_V1_v15tb_01,hb_ocp1dbm_value,3.317,,,
14,MMPA_V1_v15tb_01,hb_peakPAE_value,7.972,,,
14,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,18.47,> 18,,pass
14,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,2.58,,,
14,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
14,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
14,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
14,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
14,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
14,MMPA_V1_v15tb_01,/vdd!,,,,
14,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
14,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.7G,,,,,,
15,MMPA_V1_v15tb_11,hb_ocp1dbm_value,11.87,,,
15,MMPA_V1_v15tb_11,hb_peakPAE_value,24.39,,,
15,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,18.51,> 18,,pass
15,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.469,,,
15,MMPA_V1_v15tb_11,hb_comp_curve,,,,
15,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
15,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
15,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
15,MMPA_V1_v15tb_10,hb_comp_curve,,,,
15,MMPA_V1_v15tb_10,hb_ocp1dbm_value,10.38,,,
15,MMPA_V1_v15tb_10,hb_peakPAE_value,21.15,,,
15,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,18.87,> 18,,pass
15,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,9.825,,,
15,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
15,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
15,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
15,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
15,MMPA_V1_v15tb_10,/vdd!,,,,
15,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
15,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
15,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
15,MMPA_V1_v15tb_01,hb_comp_curve,,,,
15,MMPA_V1_v15tb_01,hb_ocp1dbm_value,3.239,,,
15,MMPA_V1_v15tb_01,hb_peakPAE_value,7.807,,,
15,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,18.09,> 18,,pass
15,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,2.531,,,
15,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
15,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
15,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
15,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
15,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
15,MMPA_V1_v15tb_01,/vdd!,,,,
15,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
15,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.75G,,,,,,
16,MMPA_V1_v15tb_11,hb_ocp1dbm_value,11.83,,,
16,MMPA_V1_v15tb_11,hb_peakPAE_value,24.13,,,
16,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,18.5,> 18,,pass
16,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.365,,,
16,MMPA_V1_v15tb_11,hb_comp_curve,,,,
16,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
16,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
16,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
16,MMPA_V1_v15tb_10,hb_comp_curve,,,,
16,MMPA_V1_v15tb_10,hb_ocp1dbm_value,10.24,,,
16,MMPA_V1_v15tb_10,hb_peakPAE_value,20.79,,,
16,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,18.58,> 18,,pass
16,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,9.495,,,
16,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
16,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
16,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
16,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
16,MMPA_V1_v15tb_10,/vdd!,,,,
16,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
16,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
16,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
16,MMPA_V1_v15tb_01,hb_comp_curve,,,,
16,MMPA_V1_v15tb_01,hb_ocp1dbm_value,3.206,,,
16,MMPA_V1_v15tb_01,hb_peakPAE_value,7.646,,,
16,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,17.64,> 18,,near
16,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,2.506,,,
16,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
16,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
16,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
16,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
16,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
16,MMPA_V1_v15tb_01,/vdd!,,,,
16,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
16,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.8G,,,,,,
17,MMPA_V1_v15tb_11,hb_ocp1dbm_value,11.8,,,
17,MMPA_V1_v15tb_11,hb_peakPAE_value,23.87,,,
17,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,18.44,> 18,,pass
17,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.297,,,
17,MMPA_V1_v15tb_11,hb_comp_curve,,,,
17,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
17,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
17,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
17,MMPA_V1_v15tb_10,hb_comp_curve,,,,
17,MMPA_V1_v15tb_10,hb_ocp1dbm_value,10.13,,,
17,MMPA_V1_v15tb_10,hb_peakPAE_value,20.38,,,
17,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,18.2,> 18,,pass
17,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,9.26,,,
17,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
17,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
17,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
17,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
17,MMPA_V1_v15tb_10,/vdd!,,,,
17,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
17,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
17,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
17,MMPA_V1_v15tb_01,hb_comp_curve,,,,
17,MMPA_V1_v15tb_01,hb_ocp1dbm_value,3.183,,,
17,MMPA_V1_v15tb_01,hb_peakPAE_value,7.497,,,
17,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,17.13,> 18,,near
17,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,2.487,,,
17,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
17,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
17,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
17,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
17,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
17,MMPA_V1_v15tb_01,/vdd!,,,,
17,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
17,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.85G,,,,,,
18,MMPA_V1_v15tb_11,hb_ocp1dbm_value,11.78,,,
18,MMPA_V1_v15tb_11,hb_peakPAE_value,23.62,,,
18,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,18.33,> 18,,pass
18,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.255,,,
18,MMPA_V1_v15tb_11,hb_comp_curve,,,,
18,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
18,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
18,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
18,MMPA_V1_v15tb_10,hb_comp_curve,,,,
18,MMPA_V1_v15tb_10,hb_ocp1dbm_value,10.08,,,
18,MMPA_V1_v15tb_10,hb_peakPAE_value,19.96,,,
18,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,17.74,> 18,,near
18,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,9.124,,,
18,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
18,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
18,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
18,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
18,MMPA_V1_v15tb_10,/vdd!,,,,
18,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
18,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
18,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
18,MMPA_V1_v15tb_01,hb_comp_curve,,,,
18,MMPA_V1_v15tb_01,hb_ocp1dbm_value,3.176,,,
18,MMPA_V1_v15tb_01,hb_peakPAE_value,7.352,,,
18,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,16.59,> 18,,near
18,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,2.475,,,
18,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
18,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
18,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
18,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
18,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
18,MMPA_V1_v15tb_01,/vdd!,,,,
18,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
18,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.9G,,,,,,
19,MMPA_V1_v15tb_11,hb_ocp1dbm_value,11.76,,,
19,MMPA_V1_v15tb_11,hb_peakPAE_value,23.37,,,
19,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,18.17,> 18,,pass
19,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.224,,,
19,MMPA_V1_v15tb_11,hb_comp_curve,,,,
19,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
19,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
19,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
19,MMPA_V1_v15tb_10,hb_comp_curve,,,,
19,MMPA_V1_v15tb_10,hb_ocp1dbm_value,10.04,,,
19,MMPA_V1_v15tb_10,hb_peakPAE_value,19.53,,,
19,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,17.23,> 18,,near
19,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,9.037,,,
19,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
19,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
19,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
19,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
19,MMPA_V1_v15tb_10,/vdd!,,,,
19,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
19,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
19,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
19,MMPA_V1_v15tb_01,hb_comp_curve,,,,
19,MMPA_V1_v15tb_01,hb_ocp1dbm_value,3.189,,,
19,MMPA_V1_v15tb_01,hb_peakPAE_value,7.183,,,
19,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,16.03,> 18,,fail
19,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,2.475,,,
19,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
19,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
19,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
19,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
19,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
19,MMPA_V1_v15tb_01,/vdd!,,,,
19,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
19,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.95G,,,,,,
20,MMPA_V1_v15tb_11,hb_ocp1dbm_value,11.76,,,
20,MMPA_V1_v15tb_11,hb_peakPAE_value,23.09,,,
20,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,17.98,> 18,,near
20,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.202,,,
20,MMPA_V1_v15tb_11,hb_comp_curve,,,,
20,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
20,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
20,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
20,MMPA_V1_v15tb_10,hb_comp_curve,,,,
20,MMPA_V1_v15tb_10,hb_ocp1dbm_value,10.02,,,
20,MMPA_V1_v15tb_10,hb_peakPAE_value,19.06,,,
20,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,16.67,> 18,,near
20,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,8.965,,,
20,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
20,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
20,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
20,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
20,MMPA_V1_v15tb_10,/vdd!,,,,
20,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
20,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
20,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
20,MMPA_V1_v15tb_01,hb_comp_curve,,,,
20,MMPA_V1_v15tb_01,hb_ocp1dbm_value,3.225,,,
20,MMPA_V1_v15tb_01,hb_peakPAE_value,6.998,,,
20,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,15.45,> 18,,fail
20,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,2.485,,,
20,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
20,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
20,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
20,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
20,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
20,MMPA_V1_v15tb_01,/vdd!,,,,
20,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
20,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=7G,,,,,,
21,MMPA_V1_v15tb_11,hb_ocp1dbm_value,11.74,,,
21,MMPA_V1_v15tb_11,hb_peakPAE_value,22.76,,,
21,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,17.74,> 18,,near
21,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.175,,,
21,MMPA_V1_v15tb_11,hb_comp_curve,,,,
21,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
21,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
21,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
21,MMPA_V1_v15tb_10,hb_comp_curve,,,,
21,MMPA_V1_v15tb_10,hb_ocp1dbm_value,10.01,,,
21,MMPA_V1_v15tb_10,hb_peakPAE_value,18.54,,,
21,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,16.08,> 18,,fail
21,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,8.914,,,
21,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
21,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
21,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
21,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
21,MMPA_V1_v15tb_10,/vdd!,,,,
21,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
21,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
21,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
21,MMPA_V1_v15tb_01,hb_comp_curve,,,,
21,MMPA_V1_v15tb_01,hb_ocp1dbm_value,3.255,,,
21,MMPA_V1_v15tb_01,hb_peakPAE_value,6.807,,,
21,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,14.87,> 18,,fail
21,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,2.492,,,
21,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
21,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
21,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
21,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
21,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
21,MMPA_V1_v15tb_01,/vdd!,,,,
21,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
21,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=7.05G,,,,,,
22,MMPA_V1_v15tb_11,hb_ocp1dbm_value,11.74,,,
22,MMPA_V1_v15tb_11,hb_peakPAE_value,22.41,,,
22,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,17.47,> 18,,near
22,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.166,,,
22,MMPA_V1_v15tb_11,hb_comp_curve,,,,
22,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
22,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
22,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
22,MMPA_V1_v15tb_10,hb_comp_curve,,,,
22,MMPA_V1_v15tb_10,hb_ocp1dbm_value,10.02,,,
22,MMPA_V1_v15tb_10,hb_peakPAE_value,17.99,,,
22,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,15.47,> 18,,fail
22,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,8.899,,,
22,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
22,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
22,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
22,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
22,MMPA_V1_v15tb_10,/vdd!,,,,
22,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
22,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
22,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
22,MMPA_V1_v15tb_01,hb_comp_curve,,,,
22,MMPA_V1_v15tb_01,hb_ocp1dbm_value,3.283,,,
22,MMPA_V1_v15tb_01,hb_peakPAE_value,6.629,,,
22,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,14.29,> 18,,fail
22,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,2.495,,,
22,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
22,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
22,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
22,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
22,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
22,MMPA_V1_v15tb_01,/vdd!,,,,
22,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
22,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=7.1G,,,,,,
23,MMPA_V1_v15tb_11,hb_ocp1dbm_value,11.75,,,
23,MMPA_V1_v15tb_11,hb_peakPAE_value,22.05,,,
23,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,17.18,> 18,,near
23,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.172,,,
23,MMPA_V1_v15tb_11,hb_comp_curve,,,,
23,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
23,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
23,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
23,MMPA_V1_v15tb_10,hb_comp_curve,,,,
23,MMPA_V1_v15tb_10,hb_ocp1dbm_value,10.03,,,
23,MMPA_V1_v15tb_10,hb_peakPAE_value,17.4,,,
23,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,14.85,> 18,,fail
23,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,8.895,,,
23,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
23,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
23,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
23,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
23,MMPA_V1_v15tb_10,/vdd!,,,,
23,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
23,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
23,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
23,MMPA_V1_v15tb_01,hb_comp_curve,,,,
23,MMPA_V1_v15tb_01,hb_ocp1dbm_value,3.302,,,
23,MMPA_V1_v15tb_01,hb_peakPAE_value,6.457,,,
23,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,13.7,> 18,,fail
23,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,2.494,,,
23,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
23,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
23,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
23,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
23,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
23,MMPA_V1_v15tb_01,/vdd!,,,,
23,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
23,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
