Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
3,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
3,MMPA_V1_v15tb_01,hb_comp_curve,,,,
3,MMPA_V1_v15tb_01,hb_ocp1dbm_value,7.537,,,
3,MMPA_V1_v15tb_01,hb_peakPAE_value,8.814,,,
3,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,13.77,> 18,,fail
3,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,6.788,,,
3,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
3,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
3,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
3,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
3,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
3,MMPA_V1_v15tb_01,/vdd!,,,,
3,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
3,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.15G,,,,,,
4,MMPA_V1_v15tb_11,hb_ocp1dbm_value,12.3,,,
4,MMPA_V1_v15tb_11,hb_peakPAE_value,25.19,,,
4,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,16.26,> 18,,near
4,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,10.35,,,
4,MMPA_V1_v15tb_11,hb_comp_curve,,,,
4,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
4,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
4,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
4,MMPA_V1_v15tb_10,hb_comp_curve,,,,
4,MMPA_V1_v15tb_10,hb_ocp1dbm_value,13.09,,,
4,MMPA_V1_v15tb_10,hb_peakPAE_value,21.32,,,
4,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,14.85,> 18,,fail
4,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,17.93,,,
4,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
4,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
4,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
4,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
4,MMPA_V1_v15tb_10,/vdd!,,,,
4,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
4,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
4,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
4,MMPA_V1_v15tb_01,hb_comp_curve,,,,
4,MMPA_V1_v15tb_01,hb_ocp1dbm_value,7.369,,,
4,MMPA_V1_v15tb_01,hb_peakPAE_value,8.809,,,
4,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,14.68,> 18,,fail
4,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,6.517,,,
4,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
4,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
4,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
4,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
4,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
4,MMPA_V1_v15tb_01,/vdd!,,,,
4,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
4,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.2G,,,,,,
5,MMPA_V1_v15tb_11,hb_ocp1dbm_value,12.3,,,
5,MMPA_V1_v15tb_11,hb_peakPAE_value,25.28,,,
5,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,16.58,> 18,,near
5,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,10.36,,,
5,MMPA_V1_v15tb_11,hb_comp_curve,,,,
5,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
5,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
5,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
5,MMPA_V1_v15tb_10,hb_comp_curve,,,,
5,MMPA_V1_v15tb_10,hb_ocp1dbm_value,13.06,,,
5,MMPA_V1_v15tb_10,hb_peakPAE_value,21.61,,,
5,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,15.6,> 18,,fail
5,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,17.84,,,
5,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
5,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
5,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
5,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
5,MMPA_V1_v15tb_10,/vdd!,,,,
5,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
5,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
5,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
5,MMPA_V1_v15tb_01,hb_comp_curve,,,,
5,MMPA_V1_v15tb_01,hb_ocp1dbm_value,7.133,,,
5,MMPA_V1_v15tb_01,hb_peakPAE_value,8.797,,,
5,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,15.56,> 18,,fail
5,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,6.165,,,
5,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
5,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
5,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
5,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
5,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
5,MMPA_V1_v15tb_01,/vdd!,,,,
5,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
5,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.25G,,,,,,
6,MMPA_V1_v15tb_11,hb_ocp1dbm_value,12.3,,,
6,MMPA_V1_v15tb_11,hb_peakPAE_value,25.35,,,
6,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,16.89,> 18,,near
6,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,10.37,,,
6,MMPA_V1_v15tb_11,hb_comp_curve,,,,
6,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
6,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
6,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
6,MMPA_V1_v15tb_10,hb_comp_curve,,,,
6,MMPA_V1_v15tb_10,hb_ocp1dbm_value,12.94,,,
6,MMPA_V1_v15tb_10,hb_peakPAE_value,21.86,,,
6,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,16.31,> 18,,near
6,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,17.41,,,
6,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
6,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
6,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
6,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
