,,Parameter,Nominal,,,,,,FF_0,FF_1,FF_2,FS_0,FS_1,FS_2,SF_0,SF_1,SF_2,SS_0,SS_1,SS_2,MC_0,MC_1,MC_2
,,temperature,27,,,,,,-40,27,125,-40,27,125,-40,27,125,-40,27,125,-40,27,125
,,toplevel.scs,tt_lib,,,,,,ff_lib,ff_lib,ff_lib,fs_lib,fs_lib,fs_lib,sf_lib,sf_lib,sf_lib,ss_lib,ss_lib,ss_lib,mc_lib,mc_lib,mc_lib

Point,Test,Output,Nominal,Spec,Weight,Pass/Fail,Min,Max,FF_0,FF_1,FF_2,FS_0,FS_1,FS_2,SF_0,SF_1,SF_2,SS_0,SS_1,SS_2,MC_0,MC_1,MC_2
2,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.413,,,,4.614,17.54,8.647,6.858,4.614,10.68,8.45,5.662,12.66,10.5,7.371,17.54,14.16,9.691,11.59,9.413,6.452
2,MMPA_V1_v15tb_11,hb_comp_curve,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_11,hb_PAE_curve,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_10,hb_comp_curve,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_10,hb_ocp1dbm_value,10.37,,,,8.185,12.29,12.29,10.88,8.607,11.72,10.34,8.185,11.56,10.26,8.287,11.47,10.18,8.191,11.72,10.37,8.248
2,MMPA_V1_v15tb_10,hb_peakPAE_value,21.13,,,,11.73,27.43,24.99,19.25,12.25,27.43,21.45,13.49,26.19,20.42,12.86,24.86,19.14,11.73,27,21.13,13.31
2,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,18.87,> 18,,fail,12.45,22.53,22.06,19.3,15.43,22.53,19.57,15.45,21,18.02,13.98,19.59,16.56,12.45,21.84,18.87,14.79
2,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,9.812,,,,5.636,14.93,11.73,8.952,5.636,11.6,8.923,5.757,13.67,10.59,6.96,14.93,11.61,7.535,12.73,9.812,6.35
2,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_10,hb_PAE_curve,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_10,/vdd!,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_10,/INPUT_NODE,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_10,/VDD/PLUS,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_01,hb_comp_curve,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_01,hb_ocp1dbm_value,3.227,,,,768.6e-3,4.69,4.626,3.074,768.6e-3,4.69,3.193,1.012,4.462,3.103,1.093,4.579,3.269,1.315,4.666,3.227,1.06
2,MMPA_V1_v15tb_01,hb_peakPAE_value,7.749,,,,3.782,11.7,11.7,8.274,4.598,11.39,8.245,4.611,9.936,7.267,4.205,9.105,6.562,3.782,10.68,7.749,4.457
2,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,18.09,> 18,,fail,11.62,22.46,22.46,19.51,15.33,21.6,18.68,14.5,20.26,17.33,13.28,18.52,15.63,11.62,21.02,18.09,13.97
2,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,2.527,,,,1.261,4.046,2.685,1.996,1.261,3.06,2.306,1.479,3.528,2.71,1.773,4.046,3.133,2.037,3.33,2.527,1.623
2,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_01,hb_PAE_curve,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_01,/VDD/PLUS,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_01,/vdd!,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_01,/INPUT_NODE,,,,,,,,,,,,,,,,,,,,,
2,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,,,,,,,,,,,,,,,,,,
Parameters: vdd=2.75,,,,,,,,,,,,,,,,,,,,,,,
