Mode,Process,Voltage,Temperature,Metric,Value
10,FS,2.25,-40,hb_PAEAtOcp1dbm,13.75
10,FS,2.25,27,hb_PAEAtOcp1dbm,10.25
10,FS,2.25,125,hb_PAEAtOcp1dbm,6.135
10,SF,2.25,-40,hb_PAEAtOcp1dbm,12.88
10,SF,2.25,27,hb_PAEAtOcp1dbm,10.48
10,SF,2.25,125,hb_PAEAtOcp1dbm,6.617
10,SS,2.25,-40,hb_PAEAtOcp1dbm,11.57
10,SS,2.25,27,hb_PAEAtOcp1dbm,9.174
10,SS,2.25,125,hb_PAEAtOcp1dbm,5.766
01,Nominal,2.25,27,hb_ocp1dbm_value,3.543
01,FF,2.25,-40,hb_ocp1dbm_value,5.539
01,FF,2.25,27,hb_ocp1dbm_value,3.996
01,FF,2.25,125,hb_ocp1dbm_value,1.575
01,FS,2.25,-40,hb_ocp1dbm_value,5.158
01,FS,2.25,27,hb_ocp1dbm_value,3.679
01,FS,2.25,125,hb_ocp1dbm_value,1.28
01,SF,2.25,-40,hb_ocp1dbm_value,4.733
01,SF,2.25,27,hb_ocp1dbm_value,3.419
01,SF,2.25,125,hb_ocp1dbm_value,1.203
01,SS,2.25,-40,hb_ocp1dbm_value,4.257
01,SS,2.25,27,hb_ocp1dbm_value,2.938
01,SS,2.25,125,hb_ocp1dbm_value,0.5968
01,Nominal,2.25,27,hb_peakPAE_value,6.732
01,FF,2.25,-40,hb_peakPAE_value,10.6
01,FF,2.25,27,hb_peakPAE_value,7.325
01,FF,2.25,125,hb_peakPAE_value,3.876
01,FS,2.25,-40,hb_peakPAE_value,9.923
01,FS,2.25,27,hb_peakPAE_value,7.085
01,FS,2.25,125,hb_peakPAE_value,3.885
01,SF,2.25,-40,hb_peakPAE_value,8.701
01,SF,2.25,27,hb_peakPAE_value,6.255
01,SF,2.25,125,hb_peakPAE_value,3.548
01,SS,2.25,-40,hb_peakPAE_value,7.768
01,SS,2.25,27,hb_peakPAE_value,5.57
01,SS,2.25,125,hb_peakPAE_value,3.112
01,Nominal,2.25,27,hb_gainAt-20dbm_value,17.63
01,FF,2.25,-40,hb_gainAt-20dbm_value,22.0
01,FF,2.25,27,hb_gainAt-20dbm_value,18.89
01,FF,2.25,125,hb_gainAt-20dbm_value,14.5
01,FS,2.25,-40,hb_gainAt-20dbm_value,21.22
01,FS,2.25,27,hb_gainAt-20dbm_value,18.16
01,FS,2.25,125,hb_gainAt-20dbm_value,13.77
01,SF,2.25,-40,hb_gainAt-20dbm_value,19.97
01,SF,2.25,27,hb_gainAt-20dbm_value,16.96
01,SF,2.25,125,hb_gainAt-20dbm_value,12.74
01,SS,2.25,-40,hb_gainAt-20dbm_value,18.34
01,SS,2.25,27,hb_gainAt-20dbm_value,15.37
01,SS,2.25,125,hb_gainAt-20dbm_value,11.16
01,Nominal,2.25,27,hb_PAEAtOcp1dbm,2.792
01,FF,2.25,-40,hb_PAEAtOcp1dbm,3.381
01,FF,2.25,27,hb_PAEAtOcp1dbm,2.525
01,FF,2.25,125,hb_PAEAtOcp1dbm,1.551
01,FS,2.25,-40,hb_PAEAtOcp1dbm,3.48
01,FS,2.25,27,hb_PAEAtOcp1dbm,2.639
01,FS,2.25,125,hb_PAEAtOcp1dbm,1.62
01,SF,2.25,-40,hb_PAEAtOcp1dbm,3.823
01,SF,2.25,27,hb_PAEAtOcp1dbm,2.965
01,SF,2.25,125,hb_PAEAtOcp1dbm,1.85
01,SS,2.25,-40,hb_PAEAtOcp1dbm,3.847
01,SS,2.25,27,hb_PAEAtOcp1dbm,2.977
01,SS,2.25,125,hb_PAEAtOcp1dbm,1.775
11,Nominal,2.5,27,hb_ocp1dbm_value,11.83
11,FF,2.5,-40,hb_ocp1dbm_value,12.65
11,FF,2.5,27,hb_ocp1dbm_value,11.39
11,FF,2.5,125,hb_ocp1dbm_value,9.425
11,FS,2.5,-40,hb_ocp1dbm_value,13.04
11,FS,2.5,27,hb_ocp1dbm_value,11.77
11,FS,2.5,125,hb_ocp1dbm_value,9.758
11,SF,2.5,-40,hb_ocp1dbm_value,12.85
11,SF,2.5,27,hb_ocp1dbm_value,11.85
11,SF,2.5,125,hb_ocp1dbm_value,10.13
11,SS,2.5,-40,hb_ocp1dbm_value,13.78
11,SS,2.5,27,hb_ocp1dbm_value,12.65
11,SS,2.5,125,hb_ocp1dbm_value,10.81
11,Nominal,2.5,27,hb_peakPAE_value,24.39
11,FF,2.5,-40,hb_peakPAE_value,24.32
11,FF,2.5,27,hb_peakPAE_value,19.06
11,FF,2.5,125,hb_peakPAE_value,12.5
11,FS,2.5,-40,hb_peakPAE_value,29.8
11,FS,2.5,27,hb_peakPAE_value,23.85
11,FS,2.5,125,hb_peakPAE_value,15.86
11,SF,2.5,-40,hb_peakPAE_value,30.19
11,SF,2.5,27,hb_peakPAE_value,24.51
11,SF,2.5,125,hb_peakPAE_value,16.65
11,SS,2.5,-40,hb_peakPAE_value,30.88
11,SS,2.5,27,hb_peakPAE_value,25.39
11,SS,2.5,125,hb_peakPAE_value,17.6
11,Nominal,2.5,27,hb_gainAt-20dbm_value,18.51
11,FF,2.5,-40,hb_gainAt-20dbm_value,19.98
11,FF,2.5,27,hb_gainAt-20dbm_value,17.69
11,FF,2.5,125,hb_gainAt-20dbm_value,14.41
11,FS,2.5,-40,hb_gainAt-20dbm_value,21.5
11,FS,2.5,27,hb_gainAt-20dbm_value,19.0
11,FS,2.5,125,hb_gainAt-20dbm_value,15.48
11,SF,2.5,-40,hb_gainAt-20dbm_value,20.35
11,SF,2.5,27,hb_gainAt-20dbm_value,17.91
11,SF,2.5,125,hb_gainAt-20dbm_value,14.51
11,SS,2.5,-40,hb_gainAt-20dbm_value,20.73
11,SS,2.5,27,hb_gainAt-20dbm_value,18.17
11,SS,2.5,125,hb_gainAt-20dbm_value,14.59
11,Nominal,2.5,27,hb_PAEAtOcp1dbm,9.413
11,FF,2.5,-40,hb_PAEAtOcp1dbm,8.647
11,FF,2.5,27,hb_PAEAtOcp1dbm,6.858
11,FF,2.5,125,hb_PAEAtOcp1dbm,4.614
11,FS,2.5,-40,hb_PAEAtOcp1dbm,10.68
11,FS,2.5,27,hb_PAEAtOcp1dbm,8.45
11,FS,2.5,125,hb_PAEAtOcp1dbm,5.662
11,SF,2.5,-40,hb_PAEAtOcp1dbm,12.66
11,SF,2.5,27,hb_PAEAtOcp1dbm,10.5
11,SF,2.5,125,hb_PAEAtOcp1dbm,7.371
11,SS,2.5,-40,hb_PAEAtOcp1dbm,17.54
11,SS,2.5,27,hb_PAEAtOcp1dbm,14.16
11,SS,2.5,125,hb_PAEAtOcp1dbm,9.691
10,Nominal,2.5,27,hb_ocp1dbm_value,10.37
10,FF,2.5,-40,hb_ocp1dbm_value,12.29
10,FF,2.5,27,hb_ocp1dbm_value,10.88
10,FF,2.5,125,hb_ocp1dbm_value,8.607
10,FS,2.5,-40,hb_ocp1dbm_value,11.72
10,FS,2.5,27,hb_ocp1dbm_value,10.34
10,FS,2.5,125,hb_ocp1dbm_value,8.185
10,SF,2.5,-40,hb_ocp1dbm_value,11.56
10,SF,2.5,27,hb_ocp1dbm_value,10.26
10,SF,2.5,125,hb_ocp1dbm_value,8.287
10,SS,2.5,-40,hb_ocp1dbm_value,11.47
10,SS,2.5,27,hb_ocp1dbm_value,10.18
10,SS,2.5,125,hb_ocp1dbm_value,8.191
10,Nominal,2.5,27,hb_peakPAE_value,21.13
10,FF,2.5,-40,hb_peakPAE_value,24.99
10,FF,2.5,27,hb_peakPAE_value,19.25
10,FF,2.5,125,hb_peakPAE_value,12.25
10,FS,2.5,-40,hb_peakPAE_value,27.43
10,FS,2.5,27,hb_peakPAE_value,21.45
10,FS,2.5,125,hb_peakPAE_value,13.49
10,SF,2.5,-40,hb_peakPAE_value,26.19
10,SF,2.5,27,hb_peakPAE_value,20.42
10,SF,2.5,125,hb_peakPAE_value,12.86
10,SS,2.5,-40,hb_peakPAE_value,24.86
10,SS,2.5,27,hb_peakPAE_value,19.14
10,SS,2.5,125,hb_peakPAE_value,11.73
10,Nominal,2.5,27,hb_gainAt-20dbm_value,18.87
10,FF,2.5,-40,hb_gainAt-20dbm_value,22.06
10,FF,2.5,27,hb_gainAt-20dbm_value,19.3
10,FF,2.5,125,hb_gainAt-20dbm_value,15.43
10,FS,2.5,-40,hb_gainAt-20dbm_value,22.53
10,FS,2.5,27,hb_gainAt-20dbm_value,19.57
10,FS,2.5,125,hb_gainAt-20dbm_value,15.45
10,SF,2.5,-40,hb_gainAt-20dbm_value,21.0
10,SF,2.5,27,hb_gainAt-20dbm_value,18.02
10,SF,2.5,125,hb_gainAt-20dbm_value,13.98
10,SS,2.5,-40,hb_gainAt-20dbm_value,19.59
10,SS,2.5,27,hb_gainAt-20dbm_value,16.56
10,SS,2.5,125,hb_gainAt-20dbm_value,12.45
10,Nominal,2.5,27,hb_PAEAtOcp1dbm,9.812
10,FF,2.5,-40,hb_PAEAtOcp1dbm,11.73
10,FF,2.5,27,hb_PAEAtOcp1dbm,8.952
10,FF,2.5,125,hb_PAEAtOcp1dbm,5.636
10,FS,2.5,-40,hb_PAEAtOcp1dbm,11.6
10,FS,2.5,27,hb_PAEAtOcp1dbm,8.923
10,FS,2.5,125,hb_PAEAtOcp1dbm,5.757
10,SF,2.5,-40,hb_PAEAtOcp1dbm,13.67
10,SF,2.5,27,hb_PAEAtOcp1dbm,10.59
10,SF,2.5,125,hb_PAEAtOcp1dbm,6.96
10,SS,2.5,-40,hb_PAEAtOcp1dbm,14.93
10,SS,2.5,27,hb_PAEAtOcp1dbm,11.61
10,SS,2.5,125,hb_PAEAtOcp1dbm,7.535
01,Nominal,2.5,27,hb_ocp1dbm_value,3.227
01,FF,2.5,-40,hb_ocp1dbm_value,4.626
01,FF,2.5,27,hb_ocp1dbm_value,3.074
01,FF,2.5,125,hb_ocp1dbm_value,0.7686
01,FS,2.5,-40,hb_ocp1dbm_value,4.69
01,FS,2.5,27,hb_ocp1dbm_value,3.193
01,FS,2.5,125,hb_ocp1dbm_value,1.012
01,SF,2.5,-40,hb_ocp1dbm_value,4.462
01,SF,2.5,27,hb_ocp1dbm_value,3.103
01,SF,2.5,125,hb_ocp1dbm_value,1.093
01,SS,2.5,-40,hb_ocp1dbm_value,4.579
01,SS,2.5,27,hb_ocp1dbm_value,3.269
01,SS,2.5,125,hb_ocp1dbm_value,1.315
01,Nominal,2.5,27,hb_peakPAE_value,7.749
01,FF,2.5,-40,hb_peakPAE_value,11.7
01,FF,2.5,27,hb_peakPAE_value,8.274
01,FF,2.5,125,hb_peakPAE_value,4.598
01,FS,2.5,-40,hb_peakPAE_value,11.39
01,FS,2.5,27,hb_peakPAE_value,8.245
01,FS,2.5,125,hb_peakPAE_value,4.611
01,SF,2.5,-40,hb_peakPAE_value,9.936
01,SF,2.5,27,hb_peakPAE_value,7.267
01,SF,2.5,125,hb_peakPAE_value,4.205
01,SS,2.5,-40,hb_peakPAE_value,9.105
01,SS,2.5,27,hb_peakPAE_value,6.562
01,SS,2.5,125,hb_peakPAE_value,3.782
01,Nominal,2.5,27,hb_gainAt-20dbm_value,18.09
01,FF,2.5,-40,hb_gainAt-20dbm_value,22.46
01,FF,2.5,27,hb_gainAt-20dbm_value,19.51
01,FF,2.5,125,hb_gainAt-20dbm_value,15.33
01,FS,2.5,-40,hb_gainAt-20dbm_value,21.6
01,FS,2.5,27,hb_gainAt-20dbm_value,18.68
01,FS,2.5,125,hb_gainAt-20dbm_value,14.5
01,SF,2.5,-40,hb_gainAt-20dbm_value,20.26
01,SF,2.5,27,hb_gainAt-20dbm_value,17.33
01,SF,2.5,125,hb_gainAt-20dbm_value,13.28
01,SS,2.5,-40,hb_gainAt-20dbm_value,18.52
01,SS,2.5,27,hb_gainAt-20dbm_value,15.63
01,SS,2.5,125,hb_gainAt-20dbm_value,11.62
01,Nominal,2.5,27,hb_PAEAtOcp1dbm,2.527
01,FF,2.5,-40,hb_PAEAtOcp1dbm,2.685
01,FF,2.5,27,hb_PAEAtOcp1dbm,1.996
01,FF,2.5,125,hb_PAEAtOcp1dbm,1.261
01,FS,2.5,-40,hb_PAEAtOcp1dbm,3.06
01,FS,2.5,27,hb_PAEAtOcp1dbm,2.306
01,FS,2.5,125,hb_PAEAtOcp1dbm,1.479
01,SF,2.5,-40,hb_PAEAtOcp1dbm,3.528
01,SF,2.5,27,hb_PAEAtOcp1dbm,2.71
01,SF,2.5,125,hb_PAEAtOcp1dbm,1.773
01,SS,2.5,-40,hb_PAEAtOcp1dbm,4.046
01,SS,2.5,27,hb_PAEAtOcp1dbm,3.133
01,SS,2.5,125,hb_PAEAtOcp1dbm,2.037
11,Nominal,2.75,27,hb_ocp1dbm_value,10.26
11,FF,2.75,-40,hb_ocp1dbm_value,10.92
11,FF,2.75,27,hb_ocp1dbm_value,9.655
11,FF,2.75,125,hb_ocp1dbm_value,7.44
11,FS,2.75,-40,hb_ocp1dbm_value,11.32
11,FS,2.75,27,hb_ocp1dbm_value,9.936
11,FS,2.75,125,hb_ocp1dbm_value,7.728
11,SF,2.75,-40,hb_ocp1dbm_value,11.72
11,SF,2.75,27,hb_ocp1dbm_value,10.42
11,SF,2.75,125,hb_ocp1dbm_value,8.383
11,SS,2.75,-40,hb_ocp1dbm_value,12.08
11,SS,2.75,27,hb_ocp1dbm_value,10.81
11,SS,2.75,125,hb_ocp1dbm_value,8.884
11,Nominal,2.75,27,hb_peakPAE_value,22.61
11,FF,2.75,-40,hb_peakPAE_value,22.14
11,FF,2.75,27,hb_peakPAE_value,17.28
11,FF,2.75,125,hb_peakPAE_value,11.23
11,FS,2.75,-40,hb_peakPAE_value,27.75
11,FS,2.75,27,hb_peakPAE_value,21.99
11,FS,2.75,125,hb_peakPAE_value,14.46
11,SF,2.75,-40,hb_peakPAE_value,28.28
11,SF,2.75,27,hb_peakPAE_value,22.84
11,SF,2.75,125,hb_peakPAE_value,15.22
11,SS,2.75,-40,hb_peakPAE_value,29.64
11,SS,2.75,27,hb_peakPAE_value,24.15
11,SS,2.75,125,hb_peakPAE_value,16.61
11,Nominal,2.75,27,hb_gainAt-20dbm_value,18.97
11,FF,2.75,-40,hb_gainAt-20dbm_value,20.49
11,FF,2.75,27,hb_gainAt-20dbm_value,18.2
11,FF,2.75,125,hb_gainAt-20dbm_value,14.91
11,FS,2.75,-40,hb_gainAt-20dbm_value,21.99
11,FS,2.75,27,hb_gainAt-20dbm_value,19.47
11,FS,2.75,125,hb_gainAt-20dbm_value,15.88
11,SF,2.75,-40,hb_gainAt-20dbm_value,20.85
11,SF,2.75,27,hb_gainAt-20dbm_value,18.32
11,SF,2.75,125,hb_gainAt-20dbm_value,14.8
11,SS,2.75,-40,hb_gainAt-20dbm_value,20.98
11,SS,2.75,27,hb_gainAt-20dbm_value,18.29
11,SS,2.75,125,hb_gainAt-20dbm_value,14.58
11,Nominal,2.75,27,hb_PAEAtOcp1dbm,6.45
11,FF,2.75,-40,hb_PAEAtOcp1dbm,5.711
11,FF,2.75,27,hb_PAEAtOcp1dbm,4.476
11,FF,2.75,125,hb_PAEAtOcp1dbm,2.875
11,FS,2.75,-40,hb_PAEAtOcp1dbm,7.09
11,FS,2.75,27,hb_PAEAtOcp1dbm,5.455
11,FS,2.75,125,hb_PAEAtOcp1dbm,3.49
11,SF,2.75,-40,hb_PAEAtOcp1dbm,9.638
11,SF,2.75,27,hb_PAEAtOcp1dbm,7.47
11,SF,2.75,125,hb_PAEAtOcp1dbm,4.882
11,SS,2.75,-40,hb_PAEAtOcp1dbm,11.89
11,SS,2.75,27,hb_PAEAtOcp1dbm,9.291
11,SS,2.75,125,hb_PAEAtOcp1dbm,6.209
10,Nominal,2.75,27,hb_ocp1dbm_value,8.741
10,FF,2.75,-40,hb_ocp1dbm_value,10.57
10,FF,2.75,27,hb_ocp1dbm_value,9.095
10,FF,2.75,125,hb_ocp1dbm_value,6.835
10,FS,2.75,-40,hb_ocp1dbm_value,10.02
10,FS,2.75,27,hb_ocp1dbm_value,8.628
10,FS,2.75,125,hb_ocp1dbm_value,6.46
10,SF,2.75,-40,hb_ocp1dbm_value,10.05
10,SF,2.75,27,hb_ocp1dbm_value,8.722
10,SF,2.75,125,hb_ocp1dbm_value,6.747
10,SS,2.75,-40,hb_ocp1dbm_value,10.21
10,SS,2.75,27,hb_ocp1dbm_value,8.91
10,SS,2.75,125,hb_ocp1dbm_value,7.005
10,Nominal,2.75,27,hb_peakPAE_value,20.5
10,FF,2.75,-40,hb_peakPAE_value,23.74
10,FF,2.75,27,hb_peakPAE_value,18.32
10,FF,2.75,125,hb_peakPAE_value,11.74
10,FS,2.75,-40,hb_peakPAE_value,26.56
10,FS,2.75,27,hb_peakPAE_value,20.75
10,FS,2.75,125,hb_peakPAE_value,13.17
10,SF,2.75,-40,hb_peakPAE_value,25.25
10,SF,2.75,27,hb_peakPAE_value,19.89
10,SF,2.75,125,hb_peakPAE_value,12.7
10,SS,2.75,-40,hb_peakPAE_value,24.67
10,SS,2.75,27,hb_peakPAE_value,19.3
10,SS,2.75,125,hb_peakPAE_value,12.08
10,Nominal,2.75,27,hb_gainAt-20dbm_value,19.17
10,FF,2.75,-40,hb_gainAt-20dbm_value,22.45
10,FF,2.75,27,hb_gainAt-20dbm_value,19.71
10,FF,2.75,125,hb_gainAt-20dbm_value,15.87
10,FS,2.75,-40,hb_gainAt-20dbm_value,22.8
10,FS,2.75,27,hb_gainAt-20dbm_value,19.88
10,FS,2.75,125,hb_gainAt-20dbm_value,15.81
10,SF,2.75,-40,hb_gainAt-20dbm_value,21.25
10,SF,2.75,27,hb_gainAt-20dbm_value,18.3
10,SF,2.75,125,hb_gainAt-20dbm_value,14.3
10,SS,2.75,-40,hb_gainAt-20dbm_value,19.84
10,SS,2.75,27,hb_gainAt-20dbm_value,16.84
10,SS,2.75,125,hb_gainAt-20dbm_value,12.77
