Mode,Process,Voltage,Temperature,Metric,Value
delta,FF,2.75,-40,delta_gain,1.9600000000000009
delta,FS,2.75,-40,delta_gain,1.4000000000000021
delta,SF,2.75,-40,delta_gain,1.0799999999999983
delta,SS,2.75,-40,delta_gain,2.4400000000000013
delta,FF,2.25,27,delta_gain,1.8200000000000003
delta,FS,2.25,27,delta_gain,1.0899999999999999
delta,Nominal,2.25,27,delta_gain,2.210000000000001
delta,SF,2.25,27,delta_gain,4.07
delta,SS,2.25,27,delta_gain,6.65
delta,FF,2.5,27,delta_gain,1.8200000000000003
delta,FS,2.5,27,delta_gain,0.8900000000000006
delta,Nominal,2.5,27,delta_gain,0.7800000000000011
delta,SF,2.5,27,delta_gain,0.6900000000000013
delta,SS,2.5,27,delta_gain,2.540000000000001
delta,FF,2.75,27,delta_gain,1.5100000000000016
delta,FS,2.75,27,delta_gain,1.259999999999998
delta,Nominal,2.75,27,delta_gain,1.1000000000000014
delta,SF,2.75,27,delta_gain,0.9800000000000004
delta,SS,2.75,27,delta_gain,2.5799999999999983
delta,FF,2.25,125,delta_gain,0.9400000000000013
delta,FS,2.25,125,delta_gain,1.7800000000000011
delta,SF,2.25,125,delta_gain,3.4300000000000015
delta,SS,2.25,125,delta_gain,6.039999999999999
delta,FF,2.5,125,delta_gain,1.0199999999999996
delta,FS,2.5,125,delta_gain,0.9800000000000004
delta,SF,2.5,125,delta_gain,1.2300000000000004
delta,SS,2.5,125,delta_gain,2.9700000000000006
delta,FF,2.75,125,delta_gain,0.9599999999999991
delta,FS,2.75,125,delta_gain,1.25
delta,SF,2.75,125,delta_gain,1.3800000000000008
delta,SS,2.75,125,delta_gain,2.790000000000001
