Point,"hb_comp_curve","hb_ocp1dbm_value","hb_peakPAE_value","hb_gainAt-20dbm_value","hb_PinAtOcp1dbm_value","hb_PAEAtOcp1dbm","hb_outputPowerW_curve","hb_outputPowerDBM_curve","hb_PAE_curve"
1,wave,3.25798999876043,7.32100572913812,17.3364469191303,-13.0418232435853,2.83035114925428,wave,wave,wave
2,wave,2.93671426811601,7.68639327973272,18.3793836469011,-14.4680599257246,2.58714377128209,wave,wave,wave
3,wave,3.25721090067742,7.95683456917581,17.7636260692432,-13.5003809491909,2.34527285419006,wave,wave,wave
4,wave,3.18443892976169,7.95201426990948,18.0089246174014,-13.8312746956307,2.32030572501922,wave,wave,wave
5,wave,3.26894111137445,7.31643969407393,17.3780445193094,-13.0800357872207,2.76649352908729,wave,wave,wave
6,wave,3.18483227425516,7.82975373169127,18.4703045138572,-14.2967014417028,2.56913350092008,wave,wave,wave
7,wave,3.26902818790317,7.84180916594386,18.1610304269067,-13.8948326067438,2.51506136640707,wave,wave,wave
8,wave,3.62987073233835,7.82737933639572,17.7068933338802,-13.0510042923165,2.66432821717832,wave,wave,wave
9,wave,3.14901851150952,7.52648178437668,17.8337571684399,-13.6694150211064,2.69126040022139,wave,wave,wave
10,wave,3.33384077926259,7.80918853177838,17.7697233010543,-13.4211025042014,2.55295756755175,wave,wave,wave
11,wave,3.04537885529654,7.71439094679169,18.2338931733783,-14.2010974942593,2.45432003612175,wave,wave,wave
12,wave,3.29590656468918,7.91444211632478,18.0523966153914,-13.7733342627641,2.41900034949944,wave,wave,wave
13,wave,3.2548529525775,8.05960836586972,18.7890546232731,-14.5507343517481,2.49938815912816,wave,wave,wave
14,wave,3.13710429654143,7.49970510191491,18.1467307339298,-14.0343602944318,2.787048258296,wave,wave,wave
15,wave,3.02885282003271,7.78211231582074,18.0212354675361,-13.9997970992423,2.31119907386498,wave,wave,wave
16,wave,3.03083438963455,8.07293871000488,18.3907096470078,-14.394595943197,2.19570540569434,wave,wave,wave
17,wave,3.19813574622041,7.54948948313359,18.0914640012999,-13.8847732028281,2.74539609679927,wave,wave,wave
18,wave,3.2578966568721,7.67445737813821,17.9148995135361,-13.6352156043078,2.60344656543116,wave,wave,wave
19,wave,3.45817252845318,7.59021758293943,17.149267203466,-12.6646296279588,2.61495815239373,wave,wave,wave
20,wave,3.18889638542613,8.31043344704652,18.923213395205,-14.7843097837057,2.20361793889783,wave,wave,wave
21,wave,3.17948624738182,7.43979678362705,17.6817575315932,-13.4765670856391,2.75572088894182,wave,wave,wave
22,wave,3.07057026383147,7.63816232253031,18.0250010532385,-13.9651149513063,2.54393783702193,wave,wave,wave
23,wave,3.42614732818626,7.92537844911797,17.9525296455898,-13.5121693834839,2.49337500705791,wave,wave,wave
24,wave,3.19855076898244,7.99727491966719,18.0472203176697,-13.8688224403681,2.28120078227395,wave,wave,wave
25,wave,3.12988541192131,7.70909228231405,18.0350382759797,-13.8908041382114,2.44409730133732,wave,wave,wave
26,wave,3.19056165411169,7.07006723458082,16.6869659304027,-12.469242691886,2.81066120898701,wave,wave,wave
27,wave,3.17897858777026,7.97557175475874,18.3793970298962,-14.2104194800668,2.41490764528822,wave,wave,wave
28,wave,3.5323450920725,8.18405957409863,18.1241950079709,-13.5647016874073,2.46968300533217,wave,wave,wave
29,wave,3.07278518308643,7.57989993250318,17.8775840835606,-13.8011402500095,2.58158113262472,wave,wave,wave
30,wave,2.91845452602778,7.81664092926723,18.3342305198672,-14.4436242799611,2.33703685157592,wave,wave,wave
31,wave,3.16662772507288,7.77677201498204,18.371331243114,-14.2155098490057,2.52101054890161,wave,wave,wave
32,wave,3.86084308793926,7.93283792154282,16.9453618851333,-12.0437407768452,2.67116612849205,wave,wave,wave
33,wave,3.21050760940977,8.00540017777599,18.2527882682098,-14.0548991544021,2.33088135863102,wave,wave,wave
34,wave,3.40552266154493,7.99655016754022,18.2857696670726,-13.876472693433,2.49674218934066,wave,wave,wave
35,wave,3.04904561059319,7.4978984932632,17.8609786060764,-13.823252592072,2.61780931215605,wave,wave,wave
36,wave,3.26739668145513,7.32739874971852,17.500739940838,-13.2041160561082,2.83425339390654,wave,wave,wave
37,wave,3.24005905197897,8.01154280724459,18.1302805876272,-13.8941841740079,2.36207643696217,wave,wave,wave
38,wave,3.15736573441328,7.70781103952801,18.1417683066965,-13.9941657667882,2.53209355238868,wave,wave,wave
39,wave,3.27506883076502,8.03015632665012,18.8475023241698,-14.6231165666445,2.57843135246856,wave,wave,wave
40,wave,2.99384756309146,7.37295202354109,17.9545028385212,-13.9814912403756,2.75614246089689,wave,wave,wave
41,wave,3.33716271667573,7.69491332342951,17.1619738093456,-12.8056371800253,2.45870568078667,wave,wave,wave
42,wave,3.06730024859171,7.98536202199149,18.6802398496973,-14.6539385092555,2.40199585786565,wave,wave,wave
43,wave,3.27890538120346,7.72121010769883,17.8914240643646,-13.5918393197933,2.61772448597855,wave,wave,wave
44,wave,3.20249582205559,7.54842606885209,18.0742175869529,-13.8524046298852,2.7740030856413,wave,wave,wave
45,wave,3.25092385650904,7.47553045830721,17.6044310220225,-13.3494635992011,2.70128766194305,wave,wave,wave
46,wave,3.1422790516537,7.98755602181908,18.0709874805947,-13.9362654905931,2.23259635913488,wave,wave,wave
47,wave,3.25015031717281,7.63624949659659,17.9771199875211,-13.718198796529,2.65430331586699,wave,wave,wave
48,wave,3.27732326613952,7.50194320035694,18.2315682912338,-13.9391838864954,2.88333716780592,wave,wave,wave
49,wave,3.0844643196134,8.00114340680496,18.3795209582652,-14.3125134288691,2.31050316294428,wave,wave,wave
50,wave,3.21521441103735,7.5308769761803,17.6006997988825,-13.380205215111,2.57034545951594,wave,wave,wave
51,wave,3.1986948681226,7.80747793038521,18.3172643725408,-14.125945878055,2.51878628723778,wave,wave,wave
52,wave,3.4593273279442,8.04191569971019,17.9846992194236,-13.510495268474,2.48909632194638,wave,wave,wave
53,wave,3.10554682390324,7.5552319764313,18.3006144098145,-14.1971252099375,2.83117867401607,wave,wave,wave
54,wave,2.93737486337298,7.91529857854035,18.4243373481595,-14.5118576697971,2.26147066752676,wave,wave,wave
55,wave,3.06525513699448,7.4692152566476,17.7065896052821,-13.6405315655359,2.64049923637694,wave,wave,wave
56,wave,3.10622765893366,7.50481884495837,17.8347072325884,-13.7153669043415,2.64730103751039,wave,wave,wave
57,wave,3.13898430123424,7.55299873117864,17.6199690063088,-13.479957902887,2.55453420880008,wave,wave,wave
58,wave,3.30423214005016,8.08344062029864,18.1332709839294,-13.8247345046233,2.35078377933315,wave,wave,wave
59,wave,3.40348799130903,7.47698527141951,17.5676587971715,-13.137880472669,2.79144419117911,wave,wave,wave
60,wave,3.1322670798776,7.9996323968095,18.1521972171378,-14.020223556188,2.25994565758659,wave,wave,wave
61,wave,3.22557920531067,8.23927337883575,18.6513309751798,-14.4545742454731,2.31185501421356,wave,wave,wave
62,wave,3.14725679573267,7.77428267326979,18.4644986103705,-14.3317799488572,2.58182901084796,wave,wave,wave
63,wave,3.38872053906551,7.68113958564108,17.7380547942318,-13.3312653099691,2.64911483421134,wave,wave,wave
64,wave,3.19358184860907,8.03822832045215,18.8202010435336,-14.6633741862227,2.46998351774655,wave,wave,wave
65,wave,3.46795329554414,7.81977464372876,17.6282117806076,-13.1343230399343,2.55639926830132,wave,wave,wave
66,wave,3.25977219876384,7.77376835718803,17.7626357586173,-13.4823569922421,2.4720537919322,wave,wave,wave
67,wave,3.23700271213115,7.07146313725079,17.355291195461,-13.0977853607529,3.06122578219484,wave,wave,wave
68,wave,2.8984195749663,7.71154297826377,18.282128877681,-14.4057280633362,2.39975378709504,wave,wave,wave
69,wave,3.29599738640122,7.88354614460366,18.4216529625785,-14.1385985876244,2.55127369042582,wave,wave,wave
70,wave,3.13432935427165,7.51094600264157,17.8843935051121,-13.7363950699176,2.68335161448401,wave,wave,wave
71,wave,3.4823432151365,8.12036563115719,17.7569480363539,-13.2653434301266,2.42445117714881,wave,wave,wave
72,wave,3.25544638297333,7.90608487671527,18.3018500961703,-14.0543307900857,2.46714392294032,wave,wave,wave
73,wave,3.01463716242465,7.79063739343816,18.1140085742838,-14.093916188281,2.39327005119795,wave,wave,wave
74,wave,3.1695671552176,7.29430358094279,17.3678272517475,-13.1704156207814,2.76315605099341,wave,wave,wave
